Date,Price
2013-03-04 9:14:00,422.63
2013-03-04 9:15:00,422.92
2013-03-04 9:16:00,422.84
2013-03-04 9:17:00,422.47
2013-03-04 9:18:00,422.33
2013-03-04 9:19:00,422.17
2013-03-04 9:20:00,422.27
2013-03-04 9:21:00,422.22
2013-03-04 9:22:00,421.95
2013-03-04 9:23:00,421.94
2013-03-04 9:24:00,421.63
2013-03-04 9:25:00,421.67
2013-03-04 9:26:00,421.6
2013-03-04 9:27:00,421.8
2013-03-04 9:28:00,421.94
2013-03-04 9:29:00,422.05
2013-03-04 9:30:00,422.07
2013-03-04 9:31:00,421.57
2013-03-04 9:32:00,421.6
2013-03-04 9:33:00,421.95
2013-03-04 9:34:00,422.34
2013-03-04 9:35:00,422.66
2013-03-04 9:36:00,421.84
2013-03-04 9:37:00,421.72
2013-03-04 9:38:00,421.76
2013-03-04 9:39:00,421.77
2013-03-04 9:40:00,421.7
2013-03-04 9:41:00,421.79
2013-03-04 9:42:00,421.84
2013-03-04 9:43:00,422.2
2013-03-04 9:44:00,422.44
2013-03-04 9:45:00,422.32
2013-03-04 9:46:00,422.37
2013-03-04 9:47:00,422.3
2013-03-04 9:48:00,422.42
2013-03-04 9:49:00,422.6
2013-03-04 9:50:00,422.84
2013-03-04 9:51:00,423.08
2013-03-04 9:52:00,423.37
2013-03-04 9:53:00,423.48
2013-03-04 9:54:00,423.63
2013-03-04 9:55:00,423.53
2013-03-04 9:56:00,423.25
2013-03-04 9:57:00,423.06
2013-03-04 9:58:00,423.0
2013-03-04 9:59:00,423.28
2013-03-04 10:00:00,423.31
2013-03-04 10:01:00,422.84
2013-03-04 10:02:00,422.67
2013-03-04 10:03:00,422.7
2013-03-04 10:04:00,422.64
2013-03-04 10:05:00,422.76
2013-03-04 10:06:00,423.07
2013-03-04 10:07:00,422.95
2013-03-04 10:08:00,422.9
2013-03-04 10:09:00,422.56
2013-03-04 10:10:00,422.47
2013-03-04 10:11:00,422.74
2013-03-04 10:12:00,422.59
2013-03-04 10:13:00,422.45
2013-03-04 10:14:00,422.88
2013-03-04 10:15:00,422.72
2013-03-04 10:16:00,422.55
2013-03-04 10:17:00,422.51
2013-03-04 10:18:00,422.72
2013-03-04 10:19:00,422.81
2013-03-04 10:20:00,422.86
2013-03-04 10:21:00,422.86
2013-03-04 10:22:00,423.16
2013-03-04 10:23:00,422.86
2013-03-04 10:24:00,423.55
2013-03-04 10:25:00,423.58
2013-03-04 10:26:00,423.63
2013-03-04 10:27:00,423.21
2013-03-04 10:28:00,423.24
2013-03-04 10:29:00,422.88
2013-03-04 10:30:00,423.15
2013-03-04 10:31:00,423.42
2013-03-04 10:32:00,423.39
2013-03-04 10:33:00,423.25
2013-03-04 10:34:00,422.71
2013-03-04 10:35:00,422.62
2013-03-04 10:36:00,422.8
2013-03-04 10:37:00,422.26
2013-03-04 10:38:00,422.62
2013-03-04 10:39:00,422.79
2013-03-04 10:40:00,422.62
2013-03-04 10:41:00,422.81
2013-03-04 10:42:00,422.88
2013-03-04 10:43:00,423.28
2013-03-04 10:44:00,423.43
2013-03-04 10:45:00,424.37
2013-03-04 10:46:00,424.46
2013-03-04 10:47:00,424.61
2013-03-04 10:48:00,424.35
2013-03-04 10:49:00,424.13
2013-03-04 10:50:00,423.86
2013-03-04 10:51:00,423.73
2013-03-04 10:52:00,423.76
2013-03-04 10:53:00,423.62
2013-03-04 10:54:00,423.94
2013-03-04 10:55:00,423.84
2013-03-04 10:56:00,423.7
2013-03-04 10:57:00,423.53
2013-03-04 10:58:00,423.19
2013-03-04 10:59:00,423.24
2013-03-04 11:00:00,423.27
2013-03-04 11:01:00,422.95
2013-03-04 11:02:00,422.99
2013-03-04 11:03:00,423.2
2013-03-04 11:04:00,423.16
2013-03-04 11:05:00,422.93
2013-03-04 11:06:00,422.83
2013-03-04 11:07:00,422.67
2013-03-04 11:08:00,422.6
2013-03-04 11:09:00,422.26
2013-03-04 11:10:00,422.23
2013-03-04 11:11:00,422.22
2013-03-04 11:12:00,421.61
2013-03-04 11:13:00,421.5
2013-03-04 11:14:00,421.49
2013-03-04 11:15:00,421.67
2013-03-04 11:16:00,421.92
2013-03-04 11:17:00,421.44
2013-03-04 11:18:00,421.48
2013-03-04 11:19:00,421.32
2013-03-04 11:20:00,421.4
2013-03-04 11:21:00,421.66
2013-03-04 11:22:00,421.47
2013-03-04 11:23:00,421.47
2013-03-04 11:24:00,421.56
2013-03-04 11:25:00,421.49
2013-03-04 11:26:00,421.5
2013-03-04 11:27:00,422.0
2013-03-04 11:28:00,422.2
2013-03-04 11:29:00,422.11
2013-03-04 11:30:00,421.96
2013-03-04 11:31:00,422.01
2013-03-04 11:32:00,422.0
2013-03-04 11:33:00,422.0
2013-03-04 11:34:00,421.85
2013-03-04 11:35:00,421.72
2013-03-04 11:36:00,421.75
2013-03-04 11:37:00,422.03
2013-03-04 11:38:00,422.06
2013-03-04 11:39:00,421.9
2013-03-04 11:40:00,421.72
2013-03-04 11:41:00,421.92
2013-03-04 11:42:00,421.62
2013-03-04 11:43:00,421.8
2013-03-04 11:44:00,422.04
2013-03-04 11:45:00,422.11
2013-03-04 11:46:00,422.0
2013-03-04 11:47:00,421.79
2013-03-04 11:48:00,421.82
2013-03-04 11:49:00,421.75
2013-03-04 11:50:00,422.16
2013-03-04 11:51:00,422.04
2013-03-04 11:52:00,421.98
2013-03-04 11:53:00,422.0
2013-03-04 11:54:00,422.02
2013-03-04 11:55:00,422.07
2013-03-04 11:56:00,423.09
2013-03-04 11:57:00,422.6
2013-03-04 11:58:00,423.28
2013-03-04 11:59:00,423.54
2013-03-04 12:00:00,423.1
2013-03-04 12:01:00,423.36
2013-03-04 12:02:00,423.03
2013-03-04 12:03:00,423.0
2013-03-04 12:04:00,422.98
2013-03-04 12:05:00,422.68
2013-03-04 12:06:00,422.56
2013-03-04 12:07:00,422.47
2013-03-04 12:08:00,422.28
2013-03-04 12:09:00,422.75
2013-03-04 12:10:00,423.18
2013-03-04 12:11:00,422.61
2013-03-04 12:12:00,422.66
2013-03-04 12:13:00,422.1
2013-03-04 12:14:00,423.14
2013-03-04 12:15:00,423.12
2013-03-04 12:16:00,422.97
2013-03-04 12:17:00,423.09
2013-03-04 12:18:00,422.75
2013-03-04 12:19:00,422.7
2013-03-04 12:20:00,422.36
2013-03-04 12:21:00,422.08
2013-03-04 12:22:00,421.5
2013-03-04 12:23:00,421.61
2013-03-04 12:24:00,421.33
2013-03-04 12:25:00,421.34
2013-03-04 12:26:00,421.41
2013-03-04 12:27:00,421.61
2013-03-04 12:28:00,421.41
2013-03-04 12:29:00,421.51
2013-03-04 12:30:00,421.11
2013-03-04 12:31:00,420.87
2013-03-04 12:32:00,420.96
2013-03-04 12:33:00,420.62
2013-03-04 12:34:00,420.89
2013-03-04 12:35:00,420.79
2013-03-04 12:36:00,420.95
2013-03-04 12:37:00,421.06
2013-03-04 12:38:00,420.7
2013-03-04 12:39:00,420.39
2013-03-04 12:40:00,420.38
2013-03-04 12:41:00,420.29
2013-03-04 12:42:00,420.26
2013-03-04 12:43:00,420.14
2013-03-04 12:44:00,420.27
2013-03-04 12:45:00,420.15
2013-03-04 12:46:00,420.09
2013-03-04 12:47:00,419.82
2013-03-04 12:48:00,419.42
2013-03-04 12:49:00,419.33
2013-03-04 12:50:00,419.31
2013-03-04 12:51:00,419.45
2013-03-04 12:52:00,419.65
2013-03-04 12:53:00,419.43
2013-03-04 12:54:00,419.23
2013-03-04 12:55:00,419.45
2013-03-04 12:56:00,419.76
2013-03-04 12:57:00,419.98
2013-03-04 12:58:00,419.8
2013-03-04 12:59:00,420.07
2013-03-04 13:00:00,420.04
2013-03-05 6:30:00,421.48
2013-03-05 6:31:00,421.43
2013-03-05 6:32:00,423.43
2013-03-05 6:33:00,422.35
2013-03-05 6:34:00,421.82
2013-03-05 6:35:00,421.0
2013-03-05 6:36:00,421.99
2013-03-05 6:37:00,422.61
2013-03-05 6:38:00,423.86
2013-03-05 6:39:00,425.26
2013-03-05 6:40:00,425.13
2013-03-05 6:41:00,425.08
2013-03-05 6:42:00,425.26
2013-03-05 6:43:00,426.0
2013-03-05 6:44:00,425.58
2013-03-05 6:45:00,425.15
2013-03-05 6:46:00,424.51
2013-03-05 6:47:00,424.59
2013-03-05 6:48:00,424.55
2013-03-05 6:49:00,423.84
2013-03-05 6:50:00,424.33
2013-03-05 6:51:00,424.37
2013-03-05 6:52:00,423.5
2013-03-05 6:53:00,423.62
2013-03-05 6:54:00,423.9
2013-03-05 6:55:00,423.86
2013-03-05 6:56:00,423.1
2013-03-05 6:57:00,423.0
2013-03-05 6:58:00,422.53
2013-03-05 6:59:00,422.14
2013-03-05 7:00:00,421.92
2013-03-05 7:01:00,422.36
2013-03-05 7:02:00,422.47
2013-03-05 7:03:00,423.28
2013-03-05 7:04:00,423.26
2013-03-05 7:05:00,423.54
2013-03-05 7:06:00,424.17
2013-03-05 7:07:00,424.58
2013-03-05 7:08:00,424.17
2013-03-05 7:09:00,424.85
2013-03-05 7:10:00,424.65
2013-03-05 7:11:00,425.51
2013-03-05 7:12:00,425.19
2013-03-05 7:13:00,425.45
2013-03-05 7:14:00,425.47
2013-03-05 7:15:00,425.15
2013-03-05 7:16:00,426.35
2013-03-05 7:17:00,426.68
